doc_id,ano,edicao_id,pagina,modelo,job_id,gabarito_bin,modelo_classe,modelo_bin,acertou_bin
7,1973,5533,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
13,1977,6625,15,gpt-oss:20b,8,relevante,relevante,relevante,1
5,1970,4793,3,gpt-oss:20b,8,relevante,relevante,relevante,1
11,1977,6631,2,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
8,1974,5931,10,gpt-oss:20b,8,relevante,relevante,relevante,1
6,1972,5435,12,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
4,1970,4845,7,gpt-oss:20b,8,relevante,relevante,relevante,1
3,1968,4293,6,gpt-oss:20b,8,relevante,relevante,relevante,1
2,1968,4414,7,gpt-oss:20b,8,relevante,super_relevante,relevante,1
10,1976,6322,16,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
15,1977,6549,26,gpt-oss:20b,8,relevante,relevante,relevante,1
16,1978,6891,29,gpt-oss:20b,8,relevante,relevante,relevante,1
14,1977,6590,23,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
18,1978,6787,10,gpt-oss:20b,8,relevante,relevante,relevante,1
19,1979,7135,2,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
21,1979,6951,2,gpt-oss:20b,8,relevante,relevante,relevante,1
25,1985,8640,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
17,1978,6822,2,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
31,1987,9101,3,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
20,1979,7125,10,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
49,1989,9478,2,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
22,1980,7242,1,gpt-oss:20b,8,relevante,relevante,relevante,1
51,1990,10099,46,gpt-oss:20b,8,relevante,super_relevante,relevante,1
52,1990,10024,35,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
53,1990,10024,34,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
23,1980,7213,2,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
56,1991,10270,23,gpt-oss:20b,8,relevante,,,
24,1984,8179,17,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
26,1985,8576,2,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
27,1985,8533,9,gpt-oss:20b,8,nao_relevante,,,
28,1985,8502,3,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
29,1986,8891,104,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
30,1986,8721,32,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
32,1987,9042,61,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
33,1987,9032,3,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
35,1987,9025,29,gpt-oss:20b,8,relevante,super_relevante,relevante,1
36,1987,9025,22,gpt-oss:20b,8,relevante,relevante,relevante,1
37,1987,9025,19,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
38,1987,9025,18,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
39,1987,9024,39,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
40,1987,9024,38,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
114,2000,12691,4,gpt-oss:20b,8,relevante,super_relevante,relevante,1
113,1999,12405,9,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
112,1999,12417,24,gpt-oss:20b,8,relevante,relevante,relevante,1
41,1988,9377,13,gpt-oss:20b,8,relevante,relevante,relevante,1
111,1999,12417,25,gpt-oss:20b,8,relevante,relevante,relevante,1
109,1999,12418,23,gpt-oss:20b,8,relevante,super_relevante,relevante,1
108,1999,12418,24,gpt-oss:20b,8,relevante,relevante,relevante,1
42,1988,9199,16,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
107,1999,12418,25,gpt-oss:20b,8,relevante,super_relevante,relevante,1
106,1999,12426,21,gpt-oss:20b,8,relevante,relevante,relevante,1
105,1999,12434,5,gpt-oss:20b,8,relevante,relevante,relevante,1
100,1998,12086,3,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
87,1997,11924,16,gpt-oss:20b,8,relevante,relevante,relevante,1
85,1997,11955,48,gpt-oss:20b,8,relevante,super_relevante,relevante,1
43,1988,9148,2,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
44,1989,9787,44,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
74,1995,11386,10,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
45,1989,9587,27,gpt-oss:20b,8,relevante,relevante,relevante,1
75,1995,11365,16,gpt-oss:20b,8,relevante,relevante,relevante,1
82,1996,11485,3,gpt-oss:20b,8,relevante,erro,,
46,1989,9585,8,gpt-oss:20b,8,nao_relevante,,,
84,1997,11955,13,gpt-oss:20b,8,relevante,,,
127,2001,12875,11,gpt-oss:20b,8,relevante,,,
47,1989,9585,7,gpt-oss:20b,8,relevante,super_relevante,relevante,1
128,2001,12872,14,gpt-oss:20b,8,relevante,relevante,relevante,1
130,2001,12811,16,gpt-oss:20b,8,relevante,erro,,
135,2002,13180,2,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
134,2002,13181,17,gpt-oss:20b,8,relevante,erro,,
54,1991,10342,2,gpt-oss:20b,8,relevante,super_relevante,relevante,1
55,1991,10332,25,gpt-oss:20b,8,relevante,,,
133,2001,12805,11,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
57,1991,10240,8,gpt-oss:20b,8,nao_relevante,erro,,
58,1992,10582,7,gpt-oss:20b,8,relevante,super_relevante,relevante,1
59,1992,10576,9,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
60,1992,10569,6,gpt-oss:20b,8,relevante,relevante,relevante,1
61,1992,10513,15,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
62,1992,10505,13,gpt-oss:20b,8,nao_relevante,,,
63,1992,10411,4,gpt-oss:20b,8,relevante,super_relevante,relevante,1
64,1992,10409,10,gpt-oss:20b,8,relevante,super_relevante,relevante,1
66,1992,10356,23,gpt-oss:20b,8,relevante,relevante,relevante,1
67,1993,10832,1,gpt-oss:20b,8,nao_relevante,,,
68,1994,11048,7,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
70,1995,11459,46,gpt-oss:20b,8,nao_relevante,,,
71,1995,11449,1,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
72,1995,11442,6,gpt-oss:20b,8,relevante,erro,,
73,1995,11395,3,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
126,2001,12889,31,gpt-oss:20b,8,relevante,super_relevante,relevante,1
125,2001,12911,21,gpt-oss:20b,8,relevante,super_relevante,relevante,1
76,1995,11354,5,gpt-oss:20b,8,relevante,relevante,relevante,1
78,1995,11326,1,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
79,1995,11280,5,gpt-oss:20b,8,nao_relevante,,,
80,1996,11665,10,gpt-oss:20b,8,nao_relevante,,,
81,1996,11573,15,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
83,1996,11471,10,gpt-oss:20b,8,nao_relevante,,,
116,2000,12672,10,gpt-oss:20b,8,relevante,,,
104,1999,12446,33,gpt-oss:20b,8,relevante,super_relevante,relevante,1
99,1998,12088,21,gpt-oss:20b,8,relevante,super_relevante,relevante,1
95,1998,12164,19,gpt-oss:20b,8,relevante,super_relevante,relevante,1
86,1997,11934,1,gpt-oss:20b,8,relevante,relevante,relevante,1
88,1997,11911,3,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
77,1995,11352,5,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
89,1997,11906,10,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
69,1994,10990,9,gpt-oss:20b,8,relevante,relevante,relevante,1
65,1992,10409,7,gpt-oss:20b,8,relevante,super_relevante,relevante,1
50,1989,9454,27,gpt-oss:20b,8,relevante,super_relevante,relevante,1
48,1989,9583,11,gpt-oss:20b,8,nao_relevante,,,
34,1987,9026,8,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
90,1997,11849,1,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
12,1977,6631,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
9,1975,6168,8,gpt-oss:20b,8,relevante,super_relevante,relevante,1
1,1968,4459,2,gpt-oss:20b,8,relevante,super_relevante,relevante,1
141,2002,13172,2,gpt-oss:20b,8,relevante,super_relevante,relevante,1
142,2002,13172,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
168,2005,13850,1,gpt-oss:20b,8,relevante,erro,,
91,1997,11841,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
92,1997,11830,8,gpt-oss:20b,8,relevante,super_relevante,relevante,1
93,1997,11830,7,gpt-oss:20b,8,relevante,relevante,relevante,1
96,1998,12156,19,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
97,1998,12153,28,gpt-oss:20b,8,nao_relevante,duvidoso,nao_relevante,1
98,1998,12096,2,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
101,1998,12081,62,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
102,1998,12079,48,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
103,1998,12079,47,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
110,1999,12418,22,gpt-oss:20b,8,nao_relevante,erro,,
115,2000,12688,6,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
117,2000,12638,11,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
118,2000,12638,10,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
119,2000,12636,23,gpt-oss:20b,8,nao_relevante,erro,,
120,2000,12606,3,gpt-oss:20b,8,relevante,super_relevante,relevante,1
121,2000,12589,1,gpt-oss:20b,8,relevante,super_relevante,relevante,1
122,2000,12584,6,gpt-oss:20b,8,relevante,relevante,relevante,1
123,2000,12563,8,gpt-oss:20b,8,nao_relevante,,,
124,2001,12934,22,gpt-oss:20b,8,relevante,relevante,relevante,1
129,2001,12853,5,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
131,2001,12811,1,gpt-oss:20b,8,relevante,relevante,relevante,1
132,2001,12808,10,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
136,2002,13180,27,gpt-oss:20b,8,nao_relevante,,,
137,2002,13180,8,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
143,2002,13170,3,gpt-oss:20b,8,relevante,,,
145,2003,13407,55,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
149,2003,13332,2,gpt-oss:20b,8,relevante,relevante,relevante,1
150,2003,13329,8,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
151,2003,13315,8,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
152,2003,13306,19,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
153,2003,13304,23,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
154,2004,13670,10,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
156,2004,13660,45,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
158,2004,13644,30,gpt-oss:20b,8,nao_relevante,,,
159,2004,13641,21,gpt-oss:20b,8,nao_relevante,,,
160,2004,13617,47,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
161,2004,13592,6,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
162,2004,13589,10,gpt-oss:20b,8,relevante,relevante,relevante,1
164,2005,13906,35,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
166,2005,13877,9,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
169,2005,13836,10,gpt-oss:20b,8,nao_relevante,,,
172,2005,13827,34,gpt-oss:20b,8,relevante,super_relevante,relevante,1
173,2005,13827,33,gpt-oss:20b,8,relevante,,,
174,2006,1210,344,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
175,2006,1210,342,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
176,2006,1153,34,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
177,2006,1141,73,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
178,2006,1122,30,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
180,2006,1118,11,gpt-oss:20b,8,relevante,relevante,relevante,1
181,2006,1118,2,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
182,2006,1118,13,gpt-oss:20b,8,relevante,,,
183,2006,1116,34,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
184,2007,1606,53,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
187,2007,1584,47,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
188,2007,1577,18,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
189,2007,1577,17,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
190,2007,1577,99,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
192,2007,1570,47,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
193,2007,1563,22,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
194,2008,2156,12,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
195,2008,2156,20,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
196,2008,2180,354,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
198,2008,2152,8,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
199,2008,2152,16,gpt-oss:20b,8,relevante,,,
201,2008,2149,35,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
202,2008,2148,2,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
203,2008,2148,16,gpt-oss:20b,8,nao_relevante,super_relevante,relevante,0
146,2003,13397,24,gpt-oss:20b,8,nao_relevante,relevante,relevante,0
138,2002,13180,6,gpt-oss:20b,8,relevante,super_relevante,relevante,1
139,2002,13180,41,gpt-oss:20b,8,relevante,relevante,relevante,1
140,2002,13173,39,gpt-oss:20b,8,relevante,relevante,relevante,1
144,2003,13426,51,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
147,2003,13361,12,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
148,2003,13361,8,gpt-oss:20b,8,relevante,duvidoso,nao_relevante,0
155,2004,13662,71,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
157,2004,13657,7,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
163,2004,13553,35,gpt-oss:20b,8,relevante,irrelevante,nao_relevante,0
165,2005,13891,28,gpt-oss:20b,8,nao_relevante,irrelevante,nao_relevante,1
167,2005,13872,9,gpt-oss:20b,8,relevante,,,
170,2005,13829,14,gpt-oss:20b,8,relevante,erro,,
171,2005,13828,19,gpt-oss:20b,8,relevante,relevante,relevante,1
179,2006,1120,35,gpt-oss:20b,8,relevante,relevante,relevante,1
185,2007,1606,2,gpt-oss:20b,8,relevante,super_relevante,relevante,1
186,2007,1597,37,gpt-oss:20b,8,relevante,relevante,relevante,1
191,2007,1573,32,gpt-oss:20b,8,relevante,relevante,relevante,1
197,2008,2153,284,gpt-oss:20b,8,relevante,erro,,
200,2008,2150,19,gpt-oss:20b,8,relevante,relevante,relevante,1
7,1973,5533,1,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
13,1977,6625,15,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
5,1970,4793,3,qwen2.5:7b,7,relevante,relevante,relevante,1
11,1977,6631,2,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
8,1974,5931,10,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
6,1972,5435,12,qwen2.5:7b,7,relevante,relevante,relevante,1
4,1970,4845,7,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
3,1968,4293,6,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
2,1968,4414,7,qwen2.5:7b,7,relevante,relevante,relevante,1
10,1976,6322,16,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
15,1977,6549,26,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
16,1978,6891,29,qwen2.5:7b,7,relevante,super_relevante,relevante,1
14,1977,6590,23,qwen2.5:7b,7,nao_relevante,relevante,relevante,0
18,1978,6787,10,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
19,1979,7135,2,qwen2.5:7b,7,relevante,relevante,relevante,1
21,1979,6951,2,qwen2.5:7b,7,relevante,duvidoso,nao_relevante,0
25,1985,8640,1,qwen2.5:7b,7,relevante,relevante,relevante,1
17,1978,6822,2,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
31,1987,9101,3,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
20,1979,7125,10,qwen2.5:7b,7,nao_relevante,relevante,relevante,0
49,1989,9478,2,qwen2.5:7b,7,relevante,relevante,relevante,1
22,1980,7242,1,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
51,1990,10099,46,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
52,1990,10024,35,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
53,1990,10024,34,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
23,1980,7213,2,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
56,1991,10270,23,qwen2.5:7b,7,relevante,,,
24,1984,8179,17,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
26,1985,8576,2,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
27,1985,8533,9,qwen2.5:7b,7,nao_relevante,super_relevante,relevante,0
28,1985,8502,3,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
29,1986,8891,104,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
30,1986,8721,32,qwen2.5:7b,7,nao_relevante,relevante,relevante,0
32,1987,9042,61,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
33,1987,9032,3,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
35,1987,9025,29,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
36,1987,9025,22,qwen2.5:7b,7,relevante,relevante,relevante,1
37,1987,9025,19,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
38,1987,9025,18,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
39,1987,9024,39,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
40,1987,9024,38,qwen2.5:7b,7,nao_relevante,erro,,
114,2000,12691,4,qwen2.5:7b,7,relevante,relevante,relevante,1
113,1999,12405,9,qwen2.5:7b,7,nao_relevante,relevante,relevante,0
112,1999,12417,24,qwen2.5:7b,7,relevante,relevante,relevante,1
41,1988,9377,13,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
111,1999,12417,25,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
109,1999,12418,23,qwen2.5:7b,7,relevante,relevante,relevante,1
108,1999,12418,24,qwen2.5:7b,7,relevante,relevante,relevante,1
42,1988,9199,16,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
107,1999,12418,25,qwen2.5:7b,7,relevante,relevante,relevante,1
106,1999,12426,21,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
105,1999,12434,5,qwen2.5:7b,7,relevante,relevante,relevante,1
100,1998,12086,3,qwen2.5:7b,7,nao_relevante,duvidoso,nao_relevante,1
87,1997,11924,16,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
85,1997,11955,48,qwen2.5:7b,7,relevante,super_relevante,relevante,1
43,1988,9148,2,qwen2.5:7b,7,relevante,relevante,relevante,1
44,1989,9787,44,qwen2.5:7b,7,nao_relevante,irrelevante,nao_relevante,1
74,1995,11386,10,qwen2.5:7b,7,relevante,relevante,relevante,1
45,1989,9587,27,qwen2.5:7b,7,relevante,super_relevante,relevante,1
75,1995,11365,16,qwen2.5:7b,7,relevante,irrelevante,nao_relevante,0
82,1996,11485,3,qwen2.5:7b,7,relevante,erro,,
46,1989,9585,8,qwen2.5:7b,7,nao_relevante,super_relevante,relevante,0
84,1997,11955,13,qwen2.5:7b,7,relevante,relevante,relevante,1
127,2001,12875,11,qwen2.5:7b,7,relevante,,,
47,1989,9585,7,qwen2.5:7b,7,relevante,erro,,
